what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.maven.seam,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.seam",1335049180098
stopped,bundle,org.jboss.tools.seam.ui,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.ui",1335049180098
stopped,bundle,org.jboss.tools.seam.ui.pages,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.ui.pages",1335049180098
stopped,bundle,org.jboss.tools.seam.xml.ui,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.xml.ui",1335049180098
stopped,bundle,org.jboss.tools.jst.web.ui,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.web.ui",1335049180098
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.v201107221459,"org.eclipse.datatools.connectivity.db.generic.ui",1335049180098
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201107221459,"org.eclipse.datatools.connectivity.apache.derby.ui",1335049180099
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1335049180099
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1335049180100
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1335049180100
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090452,"org.eclipse.datatools.enablement.sybase.ui",1335049180101
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.ui",1335049180102
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201107221459,"org.eclipse.datatools.connectivity.sqm.server.ui",1335049180102
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.2.v201201131129,"org.eclipse.datatools.sqltools.ddlgen.ui",1335049180103
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1335049180103
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1335049180104
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1335049180104
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.2.v201111230714,"org.eclipse.datatools.sqltools.routineeditor.ui",1335049180105
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.3.v201107221520,"org.eclipse.datatools.sqltools.sqlbuilder",1335049180105
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.debugger.core",1335049180105
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1335049180106
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1335049180106
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook",1335049180106
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201107221520,"org.eclipse.datatools.sqltools.sqleditor",1335049180107
stopped,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1335049180107
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.tabledataeditor",1335049180108
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.1.v20110926045,"org.eclipse.datatools.connectivity.sqm.core.ui",1335049180108
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1335049180108
stopped,bundle,org.jboss.tools.central,1.0.0.v20120307-1926-H67-Beta1,"org.jboss.tools.central",1335049180108
stopped,bundle,org.jboss.tools.maven.project.examples,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.project.examples",1335049180108
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.2.1.v20120305-1726-H75-Beta1,"org.jboss.tools.project.examples.cheatsheet",1335049180109
stopped,bundle,org.jboss.tools.project.examples,1.2.1.v20120305-1726-H75-Beta1,"org.jboss.tools.project.examples",1335049180109
stopped,bundle,org.jboss.tools.runtime.seam.detector,1.3.0.v20120307-2045-H73-Beta1,"org.jboss.tools.runtime.seam.detector",1335049180109
stopped,bundle,org.jboss.tools.seam.text.ext,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.text.ext",1335049180109
stopped,bundle,org.jboss.tools.seam.core,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.core",1335049180109
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1335049180109
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1335049180109
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1335049180110
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.jdt.apt.ui",1335049180110
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.jdt.ui",1335049180110
stopped,bundle,org.hibernate.eclipse.mapper,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.mapper",1335049180110
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate.jpt.core",1335049180110
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate.ui",1335049180111
stopped,bundle,org.jboss.tools.hibernate3_5,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate3_5",1335049180113
stopped,bundle,org.jboss.tools.hibernate3_6,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate3_6",1335049180113
stopped,bundle,org.jboss.tools.hibernate4_0,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate4_0",1335049180114
stopped,bundle,org.jboss.tools.maven.hibernate,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.hibernate",1335049180114
stopped,bundle,org.hibernate.eclipse.console,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.console",1335049180114
stopped,bundle,org.jboss.tools.maven.jbosspackaging,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.jbosspackaging",1335049180114
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.as.ui.mbeans",1335049180114
stopped,bundle,org.jboss.ide.eclipse.as.classpath.ui,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.as.classpath.ui",1335049180115
stopped,bundle,org.jboss.tools.maven.portlet,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.portlet",1335049180115
stopped,bundle,org.jboss.tools.portlet.ui,1.2.0.v20120302-2132-H56-Beta1,"org.jboss.tools.portlet.ui",1335049180115
stopped,bundle,org.jboss.tools.portlet.core,1.2.0.v20120302-2132-H56-Beta1,"org.jboss.tools.portlet.core",1335049180115
stopped,bundle,org.jboss.ide.eclipse.as.classpath.core,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.as.classpath.core",1335049180115
stopped,bundle,org.jboss.ide.eclipse.as.rse.ui,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.as.rse.ui",1335049180115
stopped,bundle,org.jboss.ide.eclipse.as.rse.core,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.as.rse.core",1335049180115
stopped,bundle,org.jboss.tools.openshift.express.ui,2.3.0.v20120308-2230-H57-Beta1,"org.jboss.tools.openshift.express.ui",1335049180121
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.archives.webtools",1335049180122
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.as.wtp.ui",1335049180123
stopped,bundle,org.jboss.tools.maven.profiles.ui,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.profiles.ui",1335049180123
stopped,bundle,org.jboss.tools.maven.cdi,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.cdi",1335049180123
stopped,bundle,org.jboss.tools.maven.jaxrs,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.jaxrs",1335049180123
stopped,bundle,org.jboss.tools.maven.jpa,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.jpa",1335049180123
stopped,bundle,org.jboss.tools.maven.jsf,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.jsf",1335049180124
stopped,bundle,org.jboss.tools.maven.ui,1.3.0.v20120307-0425-H80-Beta1,"org.jboss.tools.maven.ui",1335049180124
stopped,bundle,org.zeroturnaround.eclipse.debug,1.4.2.201203151351,"org.zeroturnaround.eclipse.debug",1335049180124
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1335049180126
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.2.v201103292152,"org.eclipse.jst.jsf.facesconfig.ui",1335049180143
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1335049180144
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1335049180145
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.100.v201104061711,"org.eclipse.jst.pagedesigner.jsf.ui",1335049180146
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner",1335049180147
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1335049180147
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1335049180148
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.3.v201201121156,"org.eclipse.datatools.connectivity.oda.template.ui",1335049180148
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1335049180149
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1335049180149
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1335049180149
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1335049180150
stopped,bundle,org.jboss.tools.cdi.seam.config.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.config.core",1335049180150
stopped,bundle,org.jboss.tools.cdi.seam.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.core",1335049180150
stopped,bundle,org.jboss.tools.cdi.seam.faces.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.faces.core",1335049180150
stopped,bundle,org.jboss.tools.cdi.seam.solder.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.solder.core",1335049180151
stopped,bundle,org.jboss.tools.cdi.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.core",1335049180151
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext.richfaces",1335049180151
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext.facelets",1335049180158
stopped,bundle,org.jboss.tools.jsf.text.ext,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext",1335049180160
stopped,bundle,org.jboss.tools.jsf.verification,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.verification",1335049180160
stopped,bundle,org.jboss.tools.jsf,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf",1335049180160
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.ui.palette",1335049180162
stopped,bundle,org.jboss.tools.jst.jsp,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.jsp",1335049180162
stopped,bundle,org.jboss.tools.jst.text.ext,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.text.ext",1335049180162
stopped,bundle,org.jboss.tools.jst.web.kb,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.web.kb",1335049180162
stopped,bundle,org.jboss.tools.common.el.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.el.ui",1335049180169
stopped,bundle,org.jboss.tools.vpe.resref,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.resref",1335049180171
stopped,bundle,org.jboss.tools.common.resref.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.resref.ui",1335049180178
stopped,bundle,org.jboss.tools.common.verification.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.verification.ui",1335049180179
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate.xml.ui",1335049180180
stopped,bundle,org.jboss.tools.common.model.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.model.ui",1335049180180
stopped,bundle,org.jboss.tools.common.text.ext,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.text.ext",1335049180180
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1335049180180
stopped,bundle,org.jboss.tools.common.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.ui",1335049180180
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1335049180181
stopped,bundle,org.hibernate.eclipse.help,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.help",1335049180183
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1335049180184
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1335049180188
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1335049180188
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1335049180189
stopped,bundle,org.zeroturnaround.eclipse.remoting,1.0.0.201203151351,"org.zeroturnaround.eclipse.remoting",1335049180193
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1335049180193
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1335049180198
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1335049180198
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1335049180198
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1335049180208
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1335049189650
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1335049189650
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1335049189650
