what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.usage,1.1.0.v20120302-0148-H44-Beta1,"org.jboss.tools.usage",1335053247865
started,bundle,com.unfuddle.mylyn.core,1.0.0.201009211700,"com.unfuddle.mylyn.core",1335053247865
started,bundle,com.unfuddle.mylyn.ui,1.0.0.201009211700,"com.unfuddle.mylyn.ui",1335053247866
started,bundle,org.codehaus.groovy.eclipse.dsl,2.6.1.xx-20120301-1000-e37-RELEASE,"org.codehaus.groovy.eclipse.dsl",1335053247866
started,bundle,org.eclipse.jdt.core,3.7.3.xx-20120301-1000-e37-RELEASE,"org.eclipse.jdt.core",1335053247867
started,bundle,org.eclipse.jdt.groovy.core,2.6.1.xx-20120301-1000-e37-RELEASE,"org.eclipse.jdt.groovy.core",1335053247867
started,bundle,org.zeroturnaround.eclipse,1.6.1.201203151351,"org.zeroturnaround.eclipse",1335053247867
started,bundle,org.zeroturnaround.eclipse.debug,1.4.2.201203151351,"org.zeroturnaround.eclipse.debug",1335053247868
started,bundle,com.collabnet.subversion.merge,3.0.7,"com.collabnet.subversion.merge",1335053247868
started,bundle,org.tigris.subversion.clientadapter,1.8.1,"org.tigris.subversion.clientadapter",1335053247869
started,bundle,org.tigris.subversion.subclipse.core,1.8.7,"org.tigris.subversion.subclipse.core",1335053247869
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1335053247869
started,bundle,org.tigris.subversion.subclipse.ui,1.8.7,"org.tigris.subversion.subclipse.ui",1335053247870
started,bundle,edu.hawaii.ics.csdl.jupiter,3.6.0,"edu.hawaii.ics.csdl.jupiter",1335053247870
os,sysinfo,,,"win32",1335053247871
arch,sysinfo,,,"x86_64",1335053247871
ws,sysinfo,,,"win32",1335053247871
locale,sysinfo,,,"en_US",1335053247871
processors,sysinfo,,,"4",1335053247871
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335053247871
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1335053247871
java.specification.name,sysinfo,,,"Java Platform API Specification",1335053247871
java.specification.vendor,sysinfo,,,"Oracle Corporation",1335053247871
java.specification.version,sysinfo,,,"1.7",1335053247871
java.vendor,sysinfo,,,"Oracle Corporation",1335053247871
java.version,sysinfo,,,"1.7.0_01",1335053247871
java.vm.info,sysinfo,,,"mixed mode",1335053247871
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335053247871
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335053247871
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1335053247871
java.vm.specification.version,sysinfo,,,"1.7",1335053247871
java.vm.vendor,sysinfo,,,"Oracle Corporation",1335053247871
java.vm.version,sysinfo,,,"21.1-b02",1335053247871
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1335053247873
